tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,Partner_Yes,Dependents_Yes,OnlineSecurity_Yes,TechSupport_Yes,PaperlessBilling_Yes,SeniorCitizen_1,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineBackup_Yes,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,MultipleLines_Yes,StreamingTV_Yes,StreamingMovies_Yes,PhoneService_Yes,gender_Male,Churn
43,49.05,2076.2,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True
3,53.4,188.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True
55,77.75,4458.15,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True
45,54.65,2553.7,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
55,100.9,5448.6,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False
59,99.5,5961.1,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True
12,96.0,1062.1,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,True
13,98.0,1237.85,False,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,True,True,True,True,True
14,19.75,309.35,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
15,18.8,294.95,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
42,54.75,2348.45,True,False,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False
64,109.2,6741.15,False,True,True,True,False,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,False
66,25.1,1697.7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False
10,75.3,720.45,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False
50,44.8,2230.85,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
27,48.7,1421.75,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
66,104.9,6891.45,True,False,True,True,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False
1,76.45,76.45,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,True
2,19.65,31.2,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False
1,49.5,49.5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
18,85.45,1505.85,False,False,False,False,False,True,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True
4,84.6,360.1,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,True,False,True
2,79.7,165.0,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True
47,20.55,1013.05,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
1,85.0,85.0,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True
2,20.3,31.9,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
16,88.45,1422.1,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,True
17,24.8,475.25,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
1,20.2,20.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
72,79.55,5810.9,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False
13,76.2,981.45,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
58,44.1,2413.05,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
12,69.85,837.5,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False
3,20.85,60.65,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
34,19.7,675.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
28,100.2,2688.45,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,False
59,19.5,1222.65,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
1,19.65,19.65,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
4,20.7,83.75,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False
